title,description,status
SIM-0001 Headlamp bracket - static load,"max stress 89 MPa, max displacement 0.83 mm, safety factor 1.41, mesh elements 46731, result review required.",open
SIM-0002 Battery housing - modal analysis,"max stress 96 MPa, max displacement 1.48 mm, safety factor 1.77, mesh elements 48462, result review required.",processed
SIM-0003 Bumper beam - thermal expansion,"max stress 103 MPa, max displacement 2.13 mm, safety factor 2.13, mesh elements 50193, result within target.",obsolete
SIM-0004 Door hinge - vibration fatigue,"max stress 110 MPa, max displacement 2.78 mm, safety factor 2.49, mesh elements 51924, result within target.",open
SIM-0005 Seat rail - impact load,"max stress 117 MPa, max displacement 3.43 mm, safety factor 2.85, mesh elements 53655, result within target.",processed
SIM-0006 Control unit cover - mounting preload,"max stress 124 MPa, max displacement 4.08 mm, safety factor 3.21, mesh elements 55386, result within target.",obsolete
SIM-0007 Cooling fan frame - random vibration,"max stress 131 MPa, max displacement 4.73 mm, safety factor 3.57, mesh elements 57117, result within target.",open
SIM-0008 Dashboard carrier - thermal cycling,"max stress 138 MPa, max displacement 0.63 mm, safety factor 3.93, mesh elements 58848, result within target.",processed
SIM-0009 Sensor mount - torsional load,"max stress 145 MPa, max displacement 1.28 mm, safety factor 4.29, mesh elements 60579, result within target.",obsolete
SIM-0010 Lamp module housing - drop test,"max stress 152 MPa, max displacement 1.93 mm, safety factor 1.25, mesh elements 62310, result review required.",open
SIM-0011 Mirror support - static load,"max stress 159 MPa, max displacement 2.58 mm, safety factor 1.61, mesh elements 64041, result review required.",processed
SIM-0012 Cable guide - modal analysis,"max stress 166 MPa, max displacement 3.23 mm, safety factor 1.97, mesh elements 65772, result review required.",obsolete
SIM-0013 Thermal shield - thermal expansion,"max stress 173 MPa, max displacement 3.88 mm, safety factor 2.33, mesh elements 67503, result within target.",open
SIM-0014 Pedal bracket - vibration fatigue,"max stress 180 MPa, max displacement 4.53 mm, safety factor 2.69, mesh elements 69234, result within target.",processed
SIM-0015 Connector holder - impact load,"max stress 187 MPa, max displacement 0.43 mm, safety factor 3.05, mesh elements 70965, result within target.",obsolete
SIM-0016 Headlamp bracket - mounting preload,"max stress 194 MPa, max displacement 1.08 mm, safety factor 3.41, mesh elements 72696, result within target.",open
SIM-0017 Battery housing - random vibration,"max stress 201 MPa, max displacement 1.73 mm, safety factor 3.77, mesh elements 74427, result within target.",processed
SIM-0018 Bumper beam - thermal cycling,"max stress 208 MPa, max displacement 2.38 mm, safety factor 4.13, mesh elements 76158, result within target.",obsolete
SIM-0019 Door hinge - torsional load,"max stress 215 MPa, max displacement 3.03 mm, safety factor 1.09, mesh elements 77889, result review required.",open
SIM-0020 Seat rail - drop test,"max stress 222 MPa, max displacement 3.68 mm, safety factor 1.45, mesh elements 79620, result review required.",processed
SIM-0021 Control unit cover - static load,"max stress 229 MPa, max displacement 4.33 mm, safety factor 1.81, mesh elements 81351, result review required.",obsolete
SIM-0022 Cooling fan frame - modal analysis,"max stress 236 MPa, max displacement 0.23 mm, safety factor 2.17, mesh elements 83082, result review required.",open
SIM-0023 Dashboard carrier - thermal expansion,"max stress 243 MPa, max displacement 0.88 mm, safety factor 2.53, mesh elements 84813, result review required.",processed
SIM-0024 Sensor mount - vibration fatigue,"max stress 85 MPa, max displacement 1.53 mm, safety factor 2.89, mesh elements 86544, result within target.",obsolete
SIM-0025 Lamp module housing - impact load,"max stress 92 MPa, max displacement 2.18 mm, safety factor 3.25, mesh elements 88275, result within target.",open
SIM-0026 Mirror support - mounting preload,"max stress 99 MPa, max displacement 2.83 mm, safety factor 3.61, mesh elements 90006, result within target.",processed
SIM-0027 Cable guide - random vibration,"max stress 106 MPa, max displacement 3.48 mm, safety factor 3.97, mesh elements 91737, result within target.",obsolete
SIM-0028 Thermal shield - thermal cycling,"max stress 113 MPa, max displacement 4.13 mm, safety factor 4.33, mesh elements 93468, result within target.",open
SIM-0029 Pedal bracket - torsional load,"max stress 120 MPa, max displacement 4.78 mm, safety factor 1.29, mesh elements 95199, result review required.",processed
SIM-0030 Connector holder - drop test,"max stress 127 MPa, max displacement 0.68 mm, safety factor 1.65, mesh elements 96930, result review required.",obsolete
SIM-0031 Headlamp bracket - static load,"max stress 134 MPa, max displacement 1.33 mm, safety factor 2.01, mesh elements 98661, result within target.",open
SIM-0032 Battery housing - modal analysis,"max stress 141 MPa, max displacement 1.98 mm, safety factor 2.37, mesh elements 100392, result within target.",processed
SIM-0033 Bumper beam - thermal expansion,"max stress 148 MPa, max displacement 2.63 mm, safety factor 2.73, mesh elements 102123, result within target.",obsolete
SIM-0034 Door hinge - vibration fatigue,"max stress 155 MPa, max displacement 3.28 mm, safety factor 3.09, mesh elements 103854, result within target.",open
SIM-0035 Seat rail - impact load,"max stress 162 MPa, max displacement 3.93 mm, safety factor 3.45, mesh elements 105585, result within target.",processed
